,0,1,2,3,4,5,6,status,Run,n_Mechanics,n_Vans,Response,Replace
0,2019-11-29 01:06:00.000000,2019-11-29 00:00:50.000000,2019-11-29 00:15:51.495865,2019-11-29 00:15:55.273588,,,,Onsite,1,40,40,-1 days +22:54:50.000000000,
1,2019-11-29 01:01:00.000000,2019-11-29 01:01:35.000000,2019-11-29 01:16:50.731654,2019-11-29 01:17:25.731654,2019-11-29 02:13:20.732854,2019-11-29 02:13:55.732854,2019-11-29 02:25:24.473179,Replace,1,40,40,0 days 00:00:35.000000000,950731654000
2,2019-11-29 02:09:00.000000,2019-11-29 02:09:35.000000,2019-11-29 02:28:16.694676,2019-11-29 02:28:51.694676,2019-11-29 02:59:32.301583,2019-11-29 03:00:07.301583,2019-11-29 03:12:55.932031,Replace,1,40,40,0 days 00:00:35.000000000,1156694676000
3,2019-11-29 03:08:00.000000,2019-11-29 03:08:25.000000,2019-11-29 03:24:21.695865,2019-11-29 03:24:47.612982,,,,Onsite,1,40,40,0 days 00:00:25.000000000,
4,2019-11-29 04:18:00.000000,2019-11-29 04:18:45.000000,2019-11-29 04:33:06.629200,2019-11-29 04:33:51.629200,2019-11-29 05:09:21.118744,2019-11-29 05:10:06.118744,2019-11-29 05:27:24.726123,Replace,1,40,40,0 days 00:00:45.000000000,906629200000
5,2019-11-29 05:38:00.000000,2019-11-29 05:38:35.000000,2019-11-29 05:52:07.620072,2019-11-29 05:52:42.620072,2019-11-29 06:16:56.880452,2019-11-29 06:17:31.880452,2019-11-29 06:32:22.591048,Replace,1,40,40,0 days 00:00:35.000000000,847620072000
6,2019-11-29 07:00:00.000000,2019-11-29 07:00:50.000000,2019-11-29 07:17:44.522558,2019-11-29 07:18:34.522558,2019-11-29 08:02:05.133932,2019-11-29 08:02:55.133932,2019-11-29 08:20:06.902360,Replace,1,40,40,0 days 00:00:50.000000000,1064522558000
7,2019-11-29 08:02:00.000000,2019-11-29 08:02:25.000000,2019-11-29 08:19:40.909442,2019-11-29 08:20:05.909442,2019-11-29 09:02:26.247126,2019-11-29 09:02:51.247126,2019-11-29 09:18:26.495319,Replace,1,40,40,0 days 00:00:25.000000000,1060909442000
8,2019-11-29 08:58:00.000000,2019-11-29 08:58:45.000000,2019-11-29 09:09:06.797994,2019-11-29 09:09:51.797994,2019-11-29 09:43:41.652752,2019-11-29 09:44:26.652752,2019-11-29 10:01:01.128733,Replace,1,40,40,0 days 00:00:45.000000000,666797994000
9,2019-11-29 09:57:00.000000,2019-11-29 09:57:45.000000,2019-11-29 10:15:08.191743,2019-11-29 10:15:53.191743,2019-11-29 11:00:31.358896,2019-11-29 11:01:16.358896,2019-11-29 11:19:10.639014,Replace,1,40,40,0 days 00:00:45.000000000,1088191743000
10,2019-11-29 11:04:00.000000,2019-11-29 11:04:45.000000,2019-11-29 11:24:44.579837,2019-11-29 11:24:54.902306,,,,Onsite,1,40,40,0 days 00:00:45.000000000,
11,2019-11-29 12:01:00.000000,2019-11-29 12:01:35.000000,2019-11-29 12:15:13.520978,2019-11-29 12:15:22.503601,,,,Onsite,1,40,40,0 days 00:00:35.000000000,
12,2019-11-29 13:15:00.000000,2019-11-29 13:15:25.000000,2019-11-29 13:36:54.592200,2019-11-29 13:37:19.592200,2019-11-29 14:31:36.643524,2019-11-29 14:32:01.643524,2019-11-29 14:45:19.542622,Replace,1,40,40,0 days 00:00:25.000000000,1314592200000
13,2019-11-29 14:34:00.000000,2019-11-29 14:34:45.000000,2019-11-29 14:49:10.171155,2019-11-29 14:49:31.555450,,,,Onsite,1,40,40,0 days 00:00:45.000000000,
14,2019-11-29 15:42:00.000000,2019-11-29 15:42:45.000000,2019-11-29 16:02:39.627728,2019-11-29 16:02:54.649572,,,,Onsite,1,40,40,0 days 00:00:45.000000000,
15,2019-11-29 16:51:00.000000,2019-11-29 16:51:45.000000,2019-11-29 17:10:53.388763,2019-11-29 17:11:38.388763,2019-11-29 17:50:23.338772,2019-11-29 17:51:08.338772,2019-11-29 18:06:44.914535,Replace,1,40,40,0 days 00:00:45.000000000,1193388763000
16,2019-11-29 18:04:00.000000,2019-11-29 18:04:35.000000,2019-11-29 18:18:40.227676,2019-11-29 18:19:15.227676,2019-11-29 18:46:45.152938,2019-11-29 18:47:20.152938,2019-11-29 19:00:18.118627,Replace,1,40,40,0 days 00:00:35.000000000,880227676000
17,2019-11-29 19:29:00.000000,2019-11-29 19:29:25.000000,2019-11-29 19:45:31.590122,2019-11-29 19:45:56.590122,2019-11-29 20:16:27.286264,2019-11-29 20:16:52.286264,2019-11-29 20:34:33.052165,Replace,1,40,40,0 days 00:00:25.000000000,991590122000
18,2019-11-29 20:31:00.000000,2019-11-29 20:31:30.000000,2019-11-29 20:45:27.468901,2019-11-29 20:45:51.691442,,,,Onsite,1,40,40,0 days 00:00:30.000000000,
19,2019-11-29 21:39:00.000000,2019-11-29 21:39:45.000000,2019-11-29 21:55:45.462609,2019-11-29 21:56:30.462609,2019-11-29 22:26:16.122934,2019-11-29 22:27:01.122934,2019-11-29 22:40:36.146548,Replace,1,40,40,0 days 00:00:45.000000000,1005462609000
20,2019-11-29 22:38:00.000000,2019-11-29 22:38:45.000000,2019-11-29 22:57:25.699626,2019-11-29 22:57:36.597921,,,,Onsite,1,40,40,0 days 00:00:45.000000000,
0,2019-11-29 01:03:00.000000,2019-11-29 00:00:35.000000,2019-11-29 00:15:37.479793,2019-11-29 00:16:12.479793,2019-11-29 00:47:45.020870,2019-11-29 00:48:20.020870,2019-11-29 01:10:58.766498,Replace,2,40,40,-1 days +22:57:35.000000000,937479793000
1,2019-11-29 01:10:00.000000,2019-11-29 01:10:45.000000,2019-11-29 01:28:30.213081,2019-11-29 01:29:15.213081,2019-11-29 02:02:52.808370,2019-11-29 02:03:37.808370,2019-11-29 02:18:30.297156,Replace,2,40,40,0 days 00:00:45.000000000,1110213081000
2,2019-11-29 02:04:00.000000,2019-11-29 02:04:35.000000,2019-11-29 02:15:29.812178,2019-11-29 02:16:04.812178,2019-11-29 02:48:49.385154,2019-11-29 02:49:24.385154,2019-11-29 03:00:24.618671,Replace,2,40,40,0 days 00:00:35.000000000,689812178000
3,2019-11-29 03:22:00.000000,2019-11-29 03:22:30.000000,2019-11-29 03:38:57.253668,2019-11-29 03:39:17.912470,,,,Onsite,2,40,40,0 days 00:00:30.000000000,
4,2019-11-29 04:28:00.000000,2019-11-29 04:28:35.000000,2019-11-29 04:43:13.810469,2019-11-29 04:43:48.810469,2019-11-29 05:20:26.635444,2019-11-29 05:21:01.635444,2019-11-29 05:34:10.340897,Replace,2,40,40,0 days 00:00:35.000000000,913810469000
5,2019-11-29 05:35:00.000000,2019-11-29 05:35:30.000000,2019-11-29 05:51:47.683483,2019-11-29 05:52:17.683483,2019-11-29 06:24:26.024515,2019-11-29 06:24:56.024515,2019-11-29 06:40:33.878698,Replace,2,40,40,0 days 00:00:30.000000000,1007683483000
6,2019-11-29 06:38:00.000000,2019-11-29 06:38:45.000000,2019-11-29 06:51:39.220714,2019-11-29 06:52:24.220714,2019-11-29 07:44:25.277427,2019-11-29 07:45:10.277427,2019-11-29 08:03:19.868429,Replace,2,40,40,0 days 00:00:45.000000000,819220714000
7,2019-11-29 08:00:00.000000,2019-11-29 08:00:45.000000,2019-11-29 08:16:12.717148,2019-11-29 08:16:32.804739,,,,Onsite,2,40,40,0 days 00:00:45.000000000,
8,2019-11-29 09:15:00.000000,2019-11-29 09:15:35.000000,2019-11-29 09:30:45.613432,2019-11-29 09:30:58.138685,,,,Onsite,2,40,40,0 days 00:00:35.000000000,
9,2019-11-29 10:33:00.000000,2019-11-29 10:33:45.000000,2019-11-29 10:51:08.231238,2019-11-29 10:51:31.356233,,,,Onsite,2,40,40,0 days 00:00:45.000000000,
10,2019-11-29 11:32:00.000000,2019-11-29 11:32:45.000000,2019-11-29 11:48:43.719465,2019-11-29 11:48:53.275759,,,,Onsite,2,40,40,0 days 00:00:45.000000000,
11,2019-11-29 12:34:00.000000,2019-11-29 12:34:55.000000,2019-11-29 12:55:08.004554,2019-11-29 12:55:11.781870,,,,Onsite,2,40,40,0 days 00:00:55.000000000,
12,2019-11-29 13:36:00.000000,2019-11-29 13:36:35.000000,2019-11-29 13:56:37.043624,2019-11-29 13:57:12.043624,2019-11-29 14:22:27.618107,2019-11-29 14:23:02.618107,2019-11-29 14:37:35.084075,Replace,2,40,40,0 days 00:00:35.000000000,1237043624000
13,2019-11-29 14:44:00.000000,2019-11-29 14:44:45.000000,2019-11-29 14:58:38.797713,2019-11-29 14:59:23.797713,2019-11-29 15:23:56.318070,2019-11-29 15:24:41.318070,2019-11-29 15:48:43.909376,Replace,2,40,40,0 days 00:00:45.000000000,878797713000
